area_type,availability,BHK,society,total_sqft,bath,balcony,price,site_location
Built-up  Area,1,2,Krone S,1117,2,1,110,Manik Bagh
Super built-up  Area,1,3,Dieldli,1724,3,2,124,Market yard
Super built-up  Area,1,1,Raiyai ,600,1,1,43,Mukund Nagar
Super built-up  Area,1,3,DSise S,1930,2,2,57.9,Mundhawa
Super built-up  Area,0,2,Prtates,1216,2,1,75,Nagar Road
Built-up  Area,1,3,ViionMa,1452,3,3,60,Nana Peth
Super built-up  Area,1,2,Veale R,1355,2,3,78,Narayan Peth
Super built-up  Area,1,3,Adeatlm,2145,3,3,190,Navi Peth
Super built-up  Area,1,2,Varlsa ,957,2,1,53,Padmavati
Built-up  Area,1,2,Maest N,925,2,2,48,Parvati Darshan
Super built-up  Area,1,2,Grntsd ,1550,2,3,59,Pashan
Plot  Area,1,4,0,4000,2,1,899,Paud Road
Plot  Area,0,3,0,2100,3,2,140,Pirangut
Super built-up  Area,0,2,PrarePa,1115,2,1,61,Prabhat Road
Super built-up  Area,1,3,NCowsar,1692,3,2,83,Pune Railway Station
Super built-up  Area,1,2,0,1100,2,2,52,Rasta Peth
Super built-up  Area,1,3,ARureig,1385,2,2,69,Raviwar Peth
Super built-up  Area,1,1,Amelllu,760,1,1,24.9,Sadashiv Peth
Super built-up  Area,0,2,Shitt S,1335,2,2,67,Sahakar Nagar
Super built-up  Area,1,2,Kut 3or,910,2,1,45,Salunke Vihar
Super built-up  Area,1,3,MGBay T,1610,2,2,55,Sasson Road
Super built-up  Area,0,2,Puachal,1341,2,1,75.76,Satara Road
Plot  Area,1,3,0,1200,3,0,70,Senapati Bapat Road
Super built-up  Area,1,3,SLnssPr,1285,2,2,44.98,Shaniwar Peth
Super built-up  Area,1,3,0,2100,3,0,252,Shivaji Nagar
Super built-up  Area,1,3,IBityin,1679,3,0,92.13,Shukrawar Peth
Built-up  Area,1,4,0,2675,4,2,290,Sinhagad Road
Built-up  Area,1,2,0,1016,2,1,45.9,Somwar Peth
Built-up  Area,1,4,0,1500,2,0,650,Swargate
Super built-up  Area,1,3,PhestOn,2448,3,2,400,Uruli Devachi
Super built-up  Area,1,2,0,924,2,2,35.11,Vadgaon Budruk
Super built-up  Area,0,1,Maian M,500,1,1,31,Wadgaon Sheri
Super built-up  Area,1,3,0,1800,3,2,88,Viman Nagar
Super built-up  Area,1,2,Vixirri,1255,2,3,77,Vishrant Wadi
Super built-up  Area,0,2,Inaxyga,1040,2,2,50,Wagholi
Super built-up  Area,1,2,Vehida ,1062,2,2,47,Wakadewadi
Super built-up  Area,1,2,Nimesch,950,2,1,60,Warje
Super built-up  Area,0,2,Prtates,1216,2,1,73,Yerawada
Super built-up  Area,1,2,AdadeEs,1300,2,2,98,Alandi Road
Super built-up  Area,1,2,0,1390,2,2,65,Ambegaon Budruk
Super built-up  Area,0,2,Goues A,1033,2,1,52.58,Anandnagar
Super built-up  Area,0,2,Goues A,1390,2,2,65.31,Aundh
Super built-up  Area,1,2,0,1020,2,1,52,Aundh Road
Super built-up  Area,0,2,ARipsul,1140,2,2,45,Baner
Super built-up  Area,1,1,IBityin,670,1,1,36.85,Baner road
Super built-up  Area,0,4,Rosha I,2171,4,2,111,Bhandarkar Road
Super built-up  Area,1,2,Gundaa ,1136,2,1,48,Bhavani Peth
Built-up  Area,1,3,Sueesti,1477,2,2,80,Bibvewadi
Super built-up  Area,1,2,0,1001,2,2,30,Bopodi
Super built-up  Area,0,2,Goues A,1040,2,1,48.86,Budhwar Peth
Super built-up  Area,1,2,0,1060,2,1,48.5,Bund Garden Road
Super built-up  Area,1,2,0,1240,2,1,44.3,Camp
Super built-up  Area,1,4,ETntsce,3500,5,0,450,Chandan Nagar
Super built-up  Area,1,9,0,42000,8,3,175,Dapodi
Super built-up  Area,0,2,Myple M,1070,2,2,46,Deccan Gymkhana
Built-up  Area,1,2,SJmesst,1253,2,1,65.8,Dehu Road
Super built-up  Area,1,2,Srmesun,1190,2,2,60,Dhankawadi
Super built-up  Area,1,2,Sparam ,1312,2,2,55,Dhayari Phata
Built-up  Area,1,2,HovasTe,750,2,0,40,Dhole Patil Road
Built-up  Area,1,3,KHage G,1615,3,2,115,Erandwane
Built-up  Area,1,2,0,1095,2,1,60,Fatima Nagar
Super built-up  Area,1,3,Gotis A,1745,3,3,100,Fergusson College Road
Super built-up  Area,1,2,0,1050,2,2,52.5,Ganesh Peth
Plot  Area,1,4,0,2080,4,2,440,Ganeshkhind
Super built-up  Area,1,2,MenueNo,1220,2,1,44.6,Ghorpade Peth
Super built-up  Area,1,3,Sonumy ,1793,3,2,98,Ghorpadi
Super built-up  Area,1,2,0,1100,1,2,45,Gokhale Nagar
Super built-up  Area,1,2,Covelrs,1385,2,3,65,Gultekdi
Super built-up  Area,1,2,0,1200,2,2,45,Guruwar peth
Super built-up  Area,1,3,NDionas,2017,2,2,125,Hadapsar
Super built-up  Area,0,3,0,1400,2,2,44.81,Hingne Khurd
Super built-up  Area,1,2,Saaveir,960,2,1,33,Jangali Maharaj Road
Super built-up  Area,1,2,Aklia R,1125,2,1,47,Kalyani Nagar
Super built-up  Area,1,3,Javasi ,1551,2,2,60,Karve Nagar
Super built-up  Area,1,2,0,1246,2,1,67.4,Kasba Peth
Built-up  Area,0,4,0,3200,4,3,224,Katraj
Super built-up  Area,1,2,SrncyRe,1060,2,1,48,Khadaki
Super built-up  Area,1,2,ReudePr,1384,2,2,59,Khadki
Super built-up  Area,0,2,SSestth,1005,2,1,39.77,Kondhwa
Plot  Area,1,3,0,1200,3,2,128,Kondhwa Budruk
Built-up  Area,1,3,0,1400,3,2,35,Kondhwa Khurd
Super built-up  Area,1,3,SrisePo,2400,3,3,88,Koregaon Park
Super built-up  Area,1,2,Rabow R,1096,2,1,39,Kothrud
Super built-up  Area,1,2,0,1180,1,0,50,Law College Road
Super built-up  Area,1,3,0,1300,2,1,47,Laxmi Road
Plot  Area,0,2,0,1020,2,1,62,Lulla Nagar
Super built-up  Area,1,4,Vacesi ,3563,6,1,310,Mangalwar peth
Super built-up  Area,1,2,0,1165,2,2,47,Manik Bagh
Super built-up  Area,0,3,NiCodCa,1685,3,3,100,Market yard
Super built-up  Area,1,3,GrrvaGr,1580,3,3,53.56,Model colony
Super built-up  Area,1,2,Soresea,1210,2,1,83,Mukund Nagar
Super built-up  Area,1,2,DSOakil,1030,1,2,25.75,Mundhawa
Built-up  Area,1,2,0,1100,2,2,43.5,Nagar Road
Super built-up  Area,0,3,Magiaya,1255,3,2,77.68,Nana Peth
Super built-up  Area,0,3,ArndsSk,1482,3,2,86,Narayan Peth
Super built-up  Area,1,2,Prersis,1344,2,1,108,Narayangaon
Super built-up  Area,0,3,0,1275,2,2,39.8,Navi Peth
Super built-up  Area,1,4,SNtua S,3300,5,3,318,Parvati Darshan
Super built-up  Area,1,2,0,1210,2,2,85,Pashan
Super built-up  Area,0,3,Raard B,1320,3,3,226,Paud Road
Super built-up  Area,0,3,Skume R,1532,3,2,98.13,Pirangut
Super built-up  Area,1,2,Maerar ,1245,2,2,110,Prabhat Road
Super built-up  Area,1,2,MaentNa,1212,2,0,50,Pune Railway Station
Super built-up  Area,0,2,0,1230,2,1,65,Rasta Peth
Super built-up  Area,1,3,DNeremo,2257,3,2,159,Sadashiv Peth
Super built-up  Area,1,2,0,1246,2,1,65.4,Sahakar Nagar
Super built-up  Area,1,2,Akncyes,1080,2,2,41,Salunke Vihar
Super built-up  Area,1,3,Vaensia,1360,2,3,85,Satara Road
Super built-up  Area,1,2,0,1260,2,2,47.88,Senapati Bapat Road
Super built-up  Area,1,2,Prtanha,1418,2,2,104,Shivaji Nagar
Plot  Area,1,3,0,1200,3,1,165,Shukrawar Peth
Super built-up  Area,1,2,0,950,2,1,39,Sinhagad Road
Super built-up  Area,1,2,0,1020,2,2,55,Somwar Peth
Super built-up  Area,0,3,Sryalan,1400,2,2,40.44,Swargate
Plot  Area,1,4,0,1440,4,0,88,Tilak Road
Super built-up  Area,0,2,Shitt S,1175,2,1,69,Wadgaon Sheri
Super built-up  Area,1,2,GrrvaGr,1185,2,1,40.17,Viman Nagar
Super built-up  Area,1,3,GRvasth,2250,3,1,113,Vishrant Wadi
Super built-up  Area,1,2,S2kaaan,1178,2,2,40.43,Wagholi
Super built-up  Area,1,1,UKe 2nz,825,1,1,44.9,Wanowrie
Super built-up  Area,0,3,0,1250,3,2,43,Warje
Super built-up  Area,1,2,Courf T,1113.12,2,2,55,Yerawada
Super built-up  Area,1,3,SaignSo,1718,3,3,223,Alandi Road
Super built-up  Area,1,2,Srncyla,1010,2,1,35,Ambegaon Budruk
Super built-up  Area,0,2,PrarePa,900,2,1,41,Anandnagar
Plot  Area,1,4,0,1500,4,3,240,Aundh
Plot  Area,1,1,0,540,1,1,16.5,Aundh Road
Super built-up  Area,0,2,0,1020,2,2,29.46,Balaji Nagar
Super built-up  Area,0,2,PuendWe,1194,2,1,71.64,Baner
Super built-up  Area,1,2,Prarkun,1108,2,1,67.15,Bhavani Peth
Built-up  Area,1,4,RMudeat,3895,2,1,451,Bibvewadi
Super built-up  Area,0,2,PrarePa,700,2,1,34.99,Bopodi
Super built-up  Area,1,3,0,1600,3,3,68,Budhwar Peth
Super built-up  Area,1,3,0,1850,3,2,90,Bund Garden Road
Super built-up  Area,1,2,LIandee,1250,2,2,33,Camp
Built-up  Area,1,1,0,600,1,1,43,Chandan Nagar
Super built-up  Area,1,2,GrrvaGr,1140,2,1,49.27,Dapodi
Super built-up  Area,1,3,0,1200,2,2,75,Deccan Gymkhana
Super built-up  Area,1,2,Rarelt ,985,2,1,55,Dehu Road
Super built-up  Area,1,2,Sronda ,982,2,2,55,Dhankawadi
Built-up  Area,1,1,NaensGa,600,1,0,20,Dhayari Phata
Super built-up  Area,1,3,Brica E,2640,5,1,142,Dhole Patil Road
Super built-up  Area,1,2,DLhtsnd,1314,2,2,68.8,Erandwane
Super built-up  Area,1,3,0,1700,2,2,68.5,Fatima Nagar
Super built-up  Area,0,2,Inntsth,1077,2,2,93,Fergusson College Road
Super built-up  Area,1,5,0,2000,4,1,99,Ganeshkhind
Super built-up  Area,1,3,Viockit,1643,3,2,75,Ghorpade Peth
Plot  Area,1,3,0,1200,3,1,67,Ghorpadi
Super built-up  Area,1,2,Sonviik,1116,2,1,51.91,Gokhale Nagar
Super built-up  Area,1,2,SLtias ,1020,2,1,41.82,Gultekdi
Built-up  Area,1,3,InockHo,1740,3,2,55,Hadapsar
Super built-up  Area,0,2,0,1225,2,2,47,Hadapsar Industrial Estate
Built-up  Area,1,3,Pronyt ,1241,2,1,61,Hingne Khurd
Super built-up  Area,1,2,MDncyhi,1041,2,2,40.6,Jangali Maharaj Road
Super built-up  Area,1,2,Jaw 2 L,1050,2,2,46,Kalyani Nagar
Super built-up  Area,0,2,GolusLi,1309,2,3,64.39,Karve Road
Super built-up  Area,1,2,0,1128,2,2,45,Kasba Peth
Super built-up  Area,1,3,7 ise P,1430,2,1,50,Katraj
Super built-up  Area,0,2,SheldGr,1065,2,1,47.86,Khadaki
Super built-up  Area,1,2,0,1085,2,1,64,Khadki
Plot  Area,1,1,0,750,1,1,30,Kharadi
Super built-up  Area,1,2,0,981,2,2,37.28,Kondhwa
Carpet  Area,0,4,Rosha I,1548.3,4,1,129,Kondhwa Budruk
Super built-up  Area,1,4,Goateds,2302,4,2,300,Kondhwa Khurd
Built-up  Area,1,3,0,1410,2,2,60,Koregaon Park
Super built-up  Area,0,3,Sosisic,1525.84,3,1,117,Kothrud
Super built-up  Area,1,2,Dhalsh ,1200,2,2,42.6,Law College Road
Built-up  Area,1,2,0,1030,2,2,80,Laxmi Road
Super built-up  Area,1,3,Coise P,1852,2,0,95,Lulla Nagar
Built-up  Area,0,2,0,1160,2,1,33.5,Mahatma Gandhi Road
Built-up  Area,1,2,DLhtsan,918,2,1,49,Mangalwar peth
Super built-up  Area,0,3,Magiaya,1255,2,1,90,Manik Bagh
Built-up  Area,1,3,0,1150,2,2,49.9,Model colony
Super built-up  Area,1,3,0,2700,3,0,324,Mukund Nagar
Built-up  Area,0,2,0,1150,2,2,69,Mundhawa
Super built-up  Area,1,2,Iseenst,1227,2,2,53.49,Nagar Road
Super built-up  Area,0,3,Magiaya,1255,3,2,77.68,Nana Peth
Super built-up  Area,1,2,Prcesvy,1198,2,1,82,Narayangaon
Plot  Area,1,3,0,1200,3,1,160,Navi Peth
Built-up  Area,1,4,V2gesre,2600,3,1,95,Parvati Darshan
Super built-up  Area,1,3,Prtanha,2072,4,2,139,Pashan
Super built-up  Area,1,2,Shvarji,797,2,1,32,Paud Road
Built-up  Area,1,3,Rarelt ,1350,2,3,68,Pirangut
Built-up  Area,1,4,EsniaGa,2500,4,0,200,Prabhat Road
Super built-up  Area,1,3,Prtanha,2215,4,2,160,Pune Railway Station
Super built-up  Area,0,1,PrarePa,525,1,1,30,Rasta Peth
Super built-up  Area,1,4,0,2700,4,3,260,Raviwar Peth
Super built-up  Area,1,3,0,1500,2,1,90,Sadashiv Peth
Plot  Area,1,2,0,900,2,0,55,Sahakar Nagar
Super built-up  Area,1,3,0,1355,2,3,58.27,Salunke Vihar
Super built-up  Area,1,3,0,1465,2,2,49.81,Sasson Road
Plot  Area,1,2,SVoutow,1006,2,1,57,Satara Road
Built-up  Area,1,4,0,2000,4,1,75,Senapati Bapat Road
Super built-up  Area,0,2,Prarkun,1128,2,1,65.7,Shaniwar Peth
Built-up  Area,1,2,0,850,2,0,35,Shivaji Nagar
Super built-up  Area,1,3,Shhin S,1310,2,3,68,Shukrawar Peth
Super built-up  Area,1,2,Bregae ,1390,2,2,86,Sinhagad Road
Super built-up  Area,1,3,0,1390,2,2,76.45,Somwar Peth
Plot  Area,1,4,0,2396,4,2,325,Swargate
Super built-up  Area,1,2,Cearuy ,1170,2,1,33,Tilak Road
Super built-up  Area,1,3,Apentir,1385,2,2,50,Uruli Devachi
Super built-up  Area,1,2,0,1160,2,1,42,Vadgaon Budruk
Super built-up  Area,0,2,Sryalan,1160,2,1,33.5,Wadgaon Sheri
Super built-up  Area,1,3,SNity S,1200,2,2,69,Viman Nagar
Super built-up  Area,1,2,3Codeli,1475,2,2,55,Vishrant Wadi
Built-up  Area,0,3,NVdenic,1939,3,0,98,Wagholi
Built-up  Area,1,2,Prhna S,850,2,2,42,Wakadewadi
Built-up  Area,0,1,Soresea,675,1,1,45,Wanowrie
Built-up  Area,1,2,GMown E,1060,2,1,51,Warje
Super built-up  Area,0,2,SSdhimr,1235,2,2,47,Yerawada
Super built-up  Area,1,2,0,1250,2,1,60,Ambegaon Budruk
Super built-up  Area,1,2,Ajacea ,1460,2,3,70,Anandnagar
Super built-up  Area,1,3,DLhtsnd,1690,3,2,85,Aundh
Built-up  Area,1,1,GoilsDa,850,1,2,57,Aundh Road
Super built-up  Area,1,3,PuandHi,1843,3,2,82,Balaji Nagar
Built-up  Area,1,3,Eladero,1680,3,2,117,Baner
Super built-up  Area,1,2,Dieldli,1047,2,1,84,Baner road
Super built-up  Area,0,2,0,1100,2,2,35,Bhandarkar Road
Plot  Area,1,8,0,3250,8,1,600,Bhavani Peth
Super built-up  Area,1,2,0,1120,2,3,53,Bibvewadi
Super built-up  Area,1,2,Shmai D,1095,2,2,38.33,Bopodi
Super built-up  Area,0,2,0,970,2,2,35,Budhwar Peth
Built-up  Area,1,3,Saowsou,1100,2,3,85,Camp
Super built-up  Area,1,3,Baveles,1685,3,2,85,Chandan Nagar
Built-up  Area,1,2,0,1148,2,1,59,Dapodi
Built-up  Area,1,2,Palanla,1050,2,1,65,Deccan Gymkhana
Super built-up  Area,1,3,SNity S,1465,2,1,76,Dehu Road
Plot  Area,1,4,Fencyes,3401,5,0,230,Dhankawadi
Built-up  Area,0,1,Prarkun,630,1,1,60,Dhayari Phata
Super built-up  Area,1,3,Brngsal,1850,3,1,150,Dhole Patil Road
Built-up  Area,1,4,0,1750,2,1,225,Fatima Nagar
Built-up  Area,1,3,Maenara,1350,3,1,60,Fergusson College Road
Super built-up  Area,1,3,Saitya ,1760,3,2,160,Ganesh Peth
Super built-up  Area,1,2,Brway G,1440,2,2,185,Ganeshkhind
Super built-up  Area,1,2,SrentAp,1200,2,0,42,Ghorpade Peth
Built-up  Area,1,2,Matrai ,1100,2,1,78,Ghorpadi
Built-up  Area,1,2,0,1140,2,2,46,Gokhale Nagar
Super built-up  Area,1,2,MBireap,1410,2,2,45,Guruwar peth
Super built-up  Area,1,3,Neisei ,1434,2,1,67.39,Hadapsar
Plot  Area,1,2,0,1180,2,2,74,Hadapsar Industrial Estate
Super built-up  Area,1,2,Dhalsh ,1160,2,2,42,Hingne Khurd
Super built-up  Area,1,2,Ste 2al,1343,2,2,86,Jangali Maharaj Road
Built-up  Area,1,2,0,1184,2,1,69,Kalyani Nagar
Super built-up  Area,1,3,Proodt ,2246,3,0,300,Karve Nagar
Super built-up  Area,1,3,Pridsi ,1305,2,1,59,Kasba Peth
Super built-up  Area,1,4,Maana E,3785,5,0,280,Katraj
Super built-up  Area,1,3,0,1540,3,2,85,Khadaki
Super built-up  Area,1,3,JRrnauv,1550,3,3,65.11,Khadki
Super built-up  Area,1,3,Apows M,1345,2,1,57,Kharadi
Super built-up  Area,1,3,Assha A,975,2,2,45,Kondhwa
Super built-up  Area,1,2,NRosete,1140,2,2,46,Kondhwa Budruk
Super built-up  Area,0,2,DSvvyx ,1152,2,1,34.56,Kondhwa Khurd
Built-up  Area,1,4,0,3200,4,2,700,Koregaon Park
Super built-up  Area,0,3,0,1033,2,2,31.5,Kothrud
Super built-up  Area,1,3,PriumMi,1800,3,0,230,Law College Road
Super built-up  Area,1,2,0,1102,2,2,53.67,Laxmi Road
Super built-up  Area,1,3,0,1223,2,2,42.81,Lulla Nagar
Super built-up  Area,0,3,Alestrb,1762,3,3,112,Mahatma Gandhi Road
Super built-up  Area,1,3,DSgmax ,1410,2,2,38,Market yard
Super built-up  Area,0,3,DSity S,1853,3,1,64.86,Model colony
Super built-up  Area,1,2,0,1455,2,0,69,Mukund Nagar
Super built-up  Area,0,2,Prersis,1138,2,1,110,Mundhawa
Built-up  Area,1,3,Adntsra,2556,3,2,169,Nagar Road
Super built-up  Area,0,3,0,1200,2,0,66.5,Nana Peth
Super built-up  Area,1,2,0,1200,2,2,37,Narayan Peth
Plot  Area,0,2,0,1200,1,1,36,Navi Peth
Super built-up  Area,0,3,VaiteEx,1870,3,2,138,Padmavati
Super built-up  Area,0,2,Prcesvy,1199,2,1,86,Parvati Darshan
Super built-up  Area,1,3,0,1360,2,2,54.4,Paud Road
Super built-up  Area,1,3,0,1230,3,3,53,Pirangut
Super built-up  Area,1,3,0,2000,3,2,120,Prabhat Road
Super built-up  Area,1,2,Dieldli,1047,2,1,83,Rasta Peth
Plot  Area,0,2,0,1200,2,1,76,Sadashiv Peth
Super built-up  Area,1,2,0,725,2,1,30,Salunke Vihar
Super built-up  Area,1,3,HRaniIb,1645,3,1,100,Sasson Road
Built-up  Area,1,2,0,870,2,1,65,Satara Road
Super built-up  Area,1,2,0,1026,2,1,49.95,Senapati Bapat Road
Built-up  Area,0,3,0,2000,3,1,145,Shaniwar Peth
Super built-up  Area,1,2,0,1710,2,2,200,Shivaji Nagar
Super built-up  Area,0,3,PuendWe,1766,3,1,130,Shukrawar Peth
Super built-up  Area,1,1,0,500,1,1,15,Sinhagad Road
Built-up  Area,0,2,0,1100,1,1,15,Somwar Peth
Super built-up  Area,1,3,DLhtsen,1221,3,3,52,Swargate
Super built-up  Area,1,1,0,680,1,1,46,Tilak Road
Super built-up  Area,1,2,Adeatlm,1278,2,2,90,Uruli Devachi
Super built-up  Area,1,2,PentyVB,1025,2,2,66,Vadgaon Budruk
Super built-up  Area,0,2,SSdhimr,1175,2,1,39,Wadgaon Sheri
Built-up  Area,1,1,0,600,1,1,75,Vishrant Wadi
Super built-up  Area,1,2,0,850,2,1,42,Wagholi
Super built-up  Area,1,2,0,710,2,0,25,Wakadewadi
Built-up  Area,0,2,0,1165,2,1,33.64,Wanowrie
Super built-up  Area,0,1,SNityVe,625,1,1,19,Warje
Super built-up  Area,1,3,0,1340,3,1,66,Yerawada
Super built-up  Area,1,2,Patri M,937,2,1,35,Alandi Road
Super built-up  Area,1,1,Brine J,750,1,1,52.5,Anandnagar
Built-up  Area,1,3,Koillph,1475,3,3,78,Aundh Road
Plot  Area,1,4,0,2230,4,1,130,Balaji Nagar
Plot  Area,1,4,0,2200,5,1,100,Baner
Plot  Area,1,2,SrageGl,900,2,0,65,Baner road
Super built-up  Area,1,2,MJtroty,1116,2,2,37,Bhandarkar Road
Built-up  Area,1,2,0,948,2,1,75,Bhavani Peth
Super built-up  Area,1,2,0,970,2,1,55,Bibvewadi
Super built-up  Area,1,3,0,1519,3,2,67.23,Bopodi
Super built-up  Area,1,3,0,1200,2,1,65,Budhwar Peth
Super built-up  Area,1,3,Pride S,1760,3,2,127,Bund Garden Road
Plot  Area,1,4,Chllea ,4400,5,3,525,Camp
Super built-up  Area,1,3,HoAcela,1914,3,3,179,Chandan Nagar
Super built-up  Area,1,3,PrityTr,1820,3,2,85.5,Dapodi
Super built-up  Area,1,3,PrityTr,1820,3,2,93,Deccan Gymkhana
Built-up  Area,1,3,Rahidhi,1565,3,2,78,Dehu Road
Super built-up  Area,1,2,Nihtsur,1334,2,3,42.69,Dhankawadi
Super built-up  Area,0,2,0,924,2,2,76.23,Dhayari Phata
Super built-up  Area,1,2,DLhtsan,914,2,2,49,Dhole Patil Road
Built-up  Area,1,1,0,500,1,1,17,Erandwane
Super built-up  Area,0,3,Miitat ,2145,3,3,125,Fatima Nagar
Built-up  Area,0,3,0,1650,3,2,100,Ganesh Peth
Super built-up  Area,1,4,PueraRi,3940,4,3,220,Ganeshkhind
Built-up  Area,0,2,0,1020,2,1,29.45,Ghorpade Peth
Built-up  Area,1,2,0,1180,2,3,58,Ghorpadi
Super built-up  Area,1,2,Rilor C,1255,2,3,120,Gokhale Nagar
Super built-up  Area,0,3,Soond R,2777.29,5,2,650,Gultekdi
Super built-up  Area,1,2,Heatee ,1014,2,1,35,Guruwar peth
Super built-up  Area,1,2,Inenshe,695,1,1,25,Hadapsar Industrial Estate
Plot  Area,1,3,Prigh L,2273,4,3,220,Hingne Khurd
Super built-up  Area,0,2,0,1140,2,2,48.95,Jangali Maharaj Road
Built-up  Area,1,6,0,3000,4,1,375,Kalyani Nagar
Super built-up  Area,1,2,SSthamh,1180,2,2,41,Karve Nagar
Super built-up  Area,0,4,Pruthg ,2400,4,2,152,Karve Road
Super built-up  Area,1,2,Inenshe,850,1,1,25,Kasba Peth
Super built-up  Area,1,2,Koestpt,1200,2,1,60,Katraj
Built-up  Area,0,4,0,3160,4,3,206,Khadaki
Super built-up  Area,1,3,Keers S,1769,3,3,96.87,Khadki
Carpet  Area,0,4,Rosha I,1554.3,4,1,131,Kondhwa
Super built-up  Area,1,2,0,1243,2,2,46,Kondhwa Budruk
Plot  Area,0,4,0,4920,5,2,1150,Kondhwa Khurd
Super built-up  Area,1,2,Shbhi S,905,2,1,40,Koregaon Park
Built-up  Area,1,1,0,627,1,1,30,Kothrud
Built-up  Area,0,3,0,2180,3,2,285,Law College Road
Super built-up  Area,1,3,0,2400,3,2,260,Laxmi Road
Super built-up  Area,1,3,Palanla,1435,3,1,73,Lulla Nagar
Super built-up  Area,0,4,SoineC ,3405.1,6,3,400,Mahatma Gandhi Road
Built-up  Area,1,3,KAMESRI,1620,3,2,130,Mangalwar peth
Super built-up  Area,1,3,0,1862,3,2,125,Manik Bagh
Super built-up  Area,0,2,0,674,1,1,19.9,Market yard
Super built-up  Area,1,2,0,1220,2,1,59,Model colony
Super built-up  Area,1,2,0,1027,2,2,44,Mukund Nagar
Super built-up  Area,1,2,GMown E,1025,2,1,49,Mundhawa
Super built-up  Area,1,3,MenueNo,1430,2,3,54.5,Nagar Road
Super built-up  Area,1,2,Diensso,1235,2,3,65,Nana Peth
Super built-up  Area,1,3,NianaBr,1291,2,3,32,Narayan Peth
Super built-up  Area,1,3,PuandHi,1498,3,2,95,Narayangaon
Super built-up  Area,1,3,Adeatlm,2180,3,2,240,Navi Peth
Super built-up  Area,0,2,0,1000,2,1,29.7,Padmavati
Plot  Area,1,2,0,922,2,1,70,Parvati Darshan
Built-up  Area,1,2,0,850,2,1,72,Pashan
Super built-up  Area,1,2,CMhamai,1123,2,2,64,Pirangut
Super built-up  Area,1,2,GRvanun,1235,2,1,75,Prabhat Road
Super built-up  Area,1,2,0,1250,2,1,55.55,Pune Railway Station
Plot  Area,1,4,Prrry M,2403,5,0,360,Rasta Peth
Super built-up  Area,0,2,AsastDe,984,2,1,45.91,Raviwar Peth
Super built-up  Area,1,2,PuineSu,1305,2,1,99,Sadashiv Peth
Plot  Area,1,2,0,1200,1,0,65,Sahakar Nagar
Super built-up  Area,0,4,Raard B,2790,5,3,204,Sasson Road
Super built-up  Area,1,4,Brglede,2010,3,2,125,Satara Road
Built-up  Area,1,2,0,995,2,0,42,Senapati Bapat Road
Built-up  Area,1,2,VRdelit,1277,2,2,59,Shaniwar Peth
Super built-up  Area,1,2,0,1236,2,2,61.33,Shivaji Nagar
Super built-up  Area,1,2,DLhtsnd,1265,2,3,67,Shukrawar Peth
Super built-up  Area,0,1,PrarePa,525,0,0,27,Sinhagad Road
Built-up  Area,1,5,MauilTr,2570,4,0,141,Somwar Peth
Plot  Area,1,4,0,2400,5,3,390,Swargate
Super built-up  Area,1,3,ALtonea,1442,3,2,56.24,Tilak Road
Super built-up  Area,1,2,AWharde,1224,2,2,70,Uruli Devachi
Super built-up  Area,1,2,0,1205,2,1,59,Vadgaon Budruk
Super built-up  Area,1,2,APusenc,1233,2,3,100,Wadgaon Sheri
Super built-up  Area,1,2,0,1312,2,3,69,Viman Nagar
Super built-up  Area,1,3,Goty  E,1449,3,2,90,Vishrant Wadi
Super built-up  Area,1,2,Nisisn ,1090,2,1,54,Wagholi
Plot  Area,1,5,0,2100,5,0,150,Wakadewadi
Super built-up  Area,1,3,0,1390,2,3,62.55,Wanowrie
Super built-up  Area,1,2,Srncyya,1200,2,3,78,Warje
Super built-up  Area,1,2,Vincyat,1000,2,2,58,Alandi Road
Plot  Area,0,4,Amais V,2400,5,2,190,Ambegaon Budruk
Super built-up  Area,0,3,Bhe 2ko,1732,3,1,85.73,Anandnagar
Super built-up  Area,1,2,Bregae ,1290,2,2,80,Aundh
Super built-up  Area,1,3,0,1840,3,3,85,Aundh Road
Super built-up  Area,1,3,Bhmesy ,1917,4,2,100,Balaji Nagar
Built-up  Area,1,2,NaaveEn,1100,2,2,57,Baner
Super built-up  Area,1,3,0,1455,2,3,60,Baner road
Super built-up  Area,0,4,Jaades ,2774,4,3,208,Bhandarkar Road
Super built-up  Area,1,3,Shireru,1425,2,2,65,Bibvewadi
Super built-up  Area,0,3,Prtates,1655,3,1,113,Bopodi
Super built-up  Area,0,4,SNnia E,2805,5,3,160,Budhwar Peth
Super built-up  Area,1,2,0,1040,2,1,46.79,Camp
Super built-up  Area,1,2,0,1126,2,1,55,Chandan Nagar
Super built-up  Area,1,2,0,1250,2,1,55.55,Deccan Gymkhana
Plot  Area,1,4,InllaPa,1800,4,2,180,Dehu Road
Plot  Area,1,2,0,1200,2,0,53,Dhankawadi
Built-up  Area,1,4,VMowsea,2050,3,1,100,Dhayari Phata
Super built-up  Area,1,1,UKe 2nz,530,1,1,29.44,Dhole Patil Road
Super built-up  Area,1,2,Prrtht ,883,2,1,37,Fatima Nagar
Super built-up  Area,1,3,0,1490,2,2,59.6,Fergusson College Road
Super built-up  Area,1,2,SVodsve,1295,2,2,95,Ganesh Peth
Super built-up  Area,1,3,Suiseit,1275,3,1,59,Ganeshkhind
Super built-up  Area,1,2,0,800,2,2,30,Ghorpade Peth
